                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.32328,                 0.2126,                0.77749,                0.99965,                0.99954,                  0.995,                0.96709,                0.26286,                0.18589,                0.76659,              0.0002192,              0.0002192,              0.0002192
                     72,                0.31142,                0.21169,                0.77634,                0.99966,                0.99954,                  0.995,                0.96817,                0.26206,                 0.1873,                0.76686,             0.00021213,             0.00021213,             0.00021213
                     73,                0.32092,                0.21516,                0.77445,                0.99952,                0.99954,                  0.995,                0.96763,                0.26548,                0.18786,                0.76695,             0.00020506,             0.00020506,             0.00020506
                     74,                0.31482,                0.21157,                0.76544,                0.99972,                0.99959,                  0.995,                0.96684,                0.26964,                0.19014,                0.76734,             0.00019799,             0.00019799,             0.00019799
                     75,                 0.3257,                0.21777,                0.78014,                0.99966,                0.99959,                  0.995,                0.96756,                0.26481,                0.18553,                0.76634,             0.00019092,             0.00019092,             0.00019092
                     76,                0.31794,                0.21194,                0.77092,                0.99972,                0.99959,                  0.995,                0.96723,                 0.2611,                0.18214,                 0.7666,             0.00018385,             0.00018385,             0.00018385
                     77,                 0.3223,                0.21016,                0.77138,                0.99972,                 0.9996,                  0.995,                0.96903,                0.25867,                0.17813,                0.76689,             0.00017679,             0.00017679,             0.00017679
                     78,                0.32215,                0.20942,                0.77369,                0.99971,                 0.9996,                  0.995,                0.96576,                0.26592,                0.18416,                0.76692,             0.00016972,             0.00016972,             0.00016972
                     79,                0.31456,                 0.2029,                0.77484,                0.99958,                0.99954,                  0.995,                0.96751,                0.25801,                0.17775,                 0.7673,             0.00016265,             0.00016265,             0.00016265
                     80,                0.31431,                 0.2056,                0.76847,                0.99963,                0.99954,                  0.995,                0.96721,                0.26109,                0.17778,                0.76715,             0.00015558,             0.00015558,             0.00015558
                     81,                0.30911,                0.20148,                0.77764,                0.99959,                0.99954,                  0.995,                0.97065,                0.25663,                0.17912,                0.76693,             0.00014851,             0.00014851,             0.00014851
                     82,                0.31863,                0.20526,                0.77019,                0.99956,                0.99954,                  0.995,                0.96972,                0.25498,                 0.1762,                0.76649,             0.00014144,             0.00014144,             0.00014144
                     83,                0.30594,                0.19621,                0.77272,                0.99968,                0.99954,                  0.995,                0.97206,                0.25449,                0.17284,                0.76653,             0.00013437,             0.00013437,             0.00013437
                     84,                0.30935,                0.20105,                0.77354,                0.99964,                0.99953,                  0.995,                0.96953,                0.25539,                0.17577,                0.76651,             0.00012731,             0.00012731,             0.00012731
                     85,                0.30474,                0.20006,                0.77456,                0.99961,                0.99948,                  0.995,                0.97223,                0.24885,                0.17169,                0.76639,             0.00012024,             0.00012024,             0.00012024
                     86,                0.29918,                0.19317,                0.77078,                0.99962,                0.99954,                  0.995,                 0.9703,                 0.2524,                0.17107,                0.76641,             0.00011317,             0.00011317,             0.00011317
                     87,                0.30766,                0.20076,                0.77566,                0.99962,                0.99954,                  0.995,                0.97037,                 0.2534,                0.17416,                0.76679,              0.0001061,              0.0001061,              0.0001061
                     88,                0.30962,                0.19988,                0.77244,                0.99961,                0.99954,                  0.995,                0.96925,                0.25381,                0.17081,                0.76632,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 0.2962,                0.19291,                 0.7725,                0.99963,                0.99954,                  0.995,                0.97196,                0.25107,                0.16893,                0.76689,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 0.3026,                0.19161,                0.77496,                0.99965,                0.99954,                  0.995,                0.97065,                0.25236,                0.17144,                0.76643,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.28617,                0.18691,                0.76767,                0.99941,                0.99954,                  0.995,                0.97058,                0.25164,                0.17105,                0.76583,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 0.2886,                0.18888,                  0.767,                0.99955,                0.99954,                  0.995,                0.97151,                0.25381,                0.17355,                0.76571,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.28806,                0.18696,                0.77263,                0.99959,                0.99954,                  0.995,                0.96976,                0.25263,                0.17261,                0.76606,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.28552,                0.18392,                0.76921,                0.99952,                0.99954,                  0.995,                0.97067,                0.25045,                0.16928,                0.76601,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 0.2833,                0.18353,                0.76995,                0.99952,                0.99954,                  0.995,                0.97209,                 0.2502,                0.16925,                0.76628,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.28089,                0.18237,                0.76712,                0.99954,                0.99954,                  0.995,                0.97095,                0.25335,                0.16792,                0.76624,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.27321,                0.17747,                0.76677,                0.99951,                0.99954,                  0.995,                0.97223,                0.24892,                0.16585,                0.76606,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.27749,                0.17999,                0.77009,                 0.9996,                0.99952,                  0.995,                0.97027,                0.25042,                0.16744,                0.76601,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.27629,                0.17681,                0.76872,                0.99962,                0.99954,                  0.995,                0.97187,                0.24638,                 0.1649,                  0.766,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.27007,                0.17526,                0.77122,                 0.9996,                0.99954,                  0.995,                0.97325,                0.24499,                0.16347,                0.76586,             1.4209e-05,             1.4209e-05,             1.4209e-05
